data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,output
8,279,C,14.45115456,1139,1,9.30290777,1,M,p,86.10894687
1,108,H,14.20744793,1656,1,7.220130223,0,M,p,42.60683336
8,258,A,19.22082955,2817,1,8.727214181,1,M,p,85.62596078
4,147,A,15.75273213,1948,1,6.0788183,1,M,p,53.65627722
5,230,H,10.19540652,1336,1,4.749185141,0,M,p,64.92505101
3,233,F,21.05282967,2571,1,9.603920033,2,M,p,78.15146674
2,225,B,27.92683596,2630,1,6.173447385,2,M,p,78.30759975
4,225,F,11.26379493,1643,1,2.537427964,1,M,p,61.6748434
0,240,A,10.62186677,2945,1,2.015179544,1,M,p,59.57485963
8,208,G,17.70643298,1804,1,9.252708642,1,M,p,74.78849832
7,296,F,21.95584918,2253,1,3.31546811,0,M,p,89.27573237
9,257,E,14.95079399,2397,1,2.639052303,0,M,p,76.49476689
0,216,E,16.9443203,1244,1,3.205158056,0,M,p,61.65504633
5,107,F,16.54403371,1274,1,6.275273738,2,M,p,47.56490408
9,197,A,15.96928492,1100,1,7.714397856,2,M,p,70.48675428
8,280,B,12.22205104,1558,1,9.085878259,2,M,p,84.0857242
9,192,H,23.73275987,2822,1,1.9607449,0,M,p,70.72022878
8,147,G,18.24003469,2611,1,8.072928576,2,M,p,61.8889598
200,220,B,27.46372663,1111,1,4.017331854,0,M,p,73.73468582
7,157,A,24.20941699,1281,1,4.989979889,2,M,p,65.17845518
9,223,A,12.6576755,2841,1,1.848404965,1,M,p,66.84031291
5,169,B,26.11682026,1890,1,1.9857164,2,M,p,64.29085464
9,104,H,12.49111428,1073,1,0.385511228,0,M,p,41.42751408
0,268,D,24.27140506,2411,1,4.665734568,1,M,p,80.10999912
7,155,H,22.35910597,2778,1,2.847048864,0,M,p,60.97024424
6,147,G,25.43383635,1396,1,9.022088126,1,M,p,67.31254084
1,108,C,28.38809768,1708,1,1.701490707,1,M,p,49.85077862
4,231,D,25.46277489,1014,1,3.606186654,2,M,p,76.72268406
7,157,G,29.0147259,2697,1,7.792713057,2,M,p,72.30596637
4,107,D,12.21024779,2006,1,9.660928997,2,M,p,46.05015201
2,242,E,19.33325762,1262,1,2.318523584,0,M,p,70.11845544
0,248,H,25.85765612,2883,1,8.638484387,1,M,p,81.51037489
6,263,F,28.31567959,2539,1,6.69443903,1,M,p,90.77855066
